0.005,-3.89162e-05,-6.89155e-05,-0.523618,0.0399996,-0.198834,0.0501,0.0005,-9.33649e-08,-1.34336e-06,-1.49426,8.65839e-05,-6.76654e-05,-0.523617,-0.378495,0.0001255,7.83704e-11,1.25e-06,1.00001,1.00007,0.523607,0.0541286,0.102271,0.0501,0.0005,2.13708,10.4707,3.8835,1.00014,1.00007,0.523608,0.201758,0.0001255,7.83704e-11,1.25e-06,
0.105,-0.0176235,-0.032547,-0.607676,0.849774,-2.71862,1.0501,0.0105,-6.71911e-06,-3.29691e-05,-0.573479,0.0375274,-0.0319807,-0.607125,-1.38891,0.0551355,1.51958e-05,0.00055125,1.0052,1.03101,0.564899,1.14278,1.49524,1.0501,0.0105,2.13708,10.4707,1.45341,1.05978,1.03102,0.56545,1.24809,0.0551355,1.51958e-05,0.00055125,
0.205,-0.0760399,-0.143321,-0.769746,1.67555,-3.77331,2.0501,0.0205,-2.08449e-05,-7.20949e-05,-0.275432,0.134361,-0.141015,-0.767645,-1.43905,0.210145,0.000220777,0.00210125,1.02235,1.12281,0.558075,2.27869,2.42887,2.0501,0.0205,2.13708,10.4707,0.615216,1.23031,1.12294,0.560177,1.36778,0.210145,0.000220777,0.00210125,
0.305,-0.195324,-0.363962,-0.939875,2.51303,-4.29252,3.0501,0.0305,-4.24706e-05,-0.000118721,-0.202408,0.271255,-0.358389,-0.935223,-1.45484,0.465154,0.00108175,0.00465125,1.05777,1.27093,0.530931,3.49258,3.38191,3.0501,0.0305,2.13708,10.4707,0.39088,1.51812,1.27157,0.535583,1.42401,0.465154,0.00108175,0.00465125,
0.405,-0.39735,-0.719117,-1.06618,3.35674,-5.09095,4.0501,0.0405,-7.15964e-05,-0.000172846,-0.231766,0.427725,-0.708318,-1.05798,-1.4729,0.820156,0.00336312,0.00820125,1.12014,1.45771,0.652981,4.79982,4.70485,4.0501,0.0405,2.13708,10.4707,0.418821,1.93203,1.47021,0.661183,1.46492,0.820156,0.00336312,0.00820125,
0.505,-0.687299,-1.21397,-1.14337,4.19994,-7.04959,5.0501,0.0505,-0.000108222,-0.000234472,-0.385455,0.600639,-1.19587,-1.13061,-1.49999,1.27514,0.00812982,0.0127513,1.21756,1.46187,1.00367,6.18054,6.93736,5.0501,0.0505,2.13708,10.4707,0.547596,2.48046,1.48541,1.01642,1.49885,1.27514,0.00812982,0.0127513,
0.605,-1.07557,-1.46187,-1.21878,5.03886,-8.69387,6.0501,0.0605,-0.000152348,-0.000303598,-0.662205,0.772775,-1.46457,-1.20048,-1.51335,1.83008,0.0167467,0.0183013,1.32291,1.46187,1.23185,7.63997,8.7533,6.0501,0.0605,2.13708,10.4707,0.72951,3.17081,1.50259,1.25015,1.51374,1.83008,0.0167467,0.0183013,
0.705,-1.41066,-1.46187,-1.28231,5.89718,-9.2814,7.0501,0.0705,-0.000203974,-0.000380224,-0.919395,1.03839,-1.4656,-1.25746,-1.51698,2.48494,0.0308782,0.0248513,1.40017,1.46187,1.2893,8.94314,9.29352,7.0501,0.0705,2.13708,10.4707,0.938597,3.921,1.52709,1.31415,1.51705,2.48494,0.0308782,0.0248513,
0.71,-1.41776,-1.46187,-1.2851,5.86738,-9.31145,7.0267,0.06025,-0.000206738,-0.000384238,-0.930789,1.06601,-1.46535,-1.25992,-1.51715,2.52012,0.0317586,0.0251781,1.40324,1.46187,1.29169,8.92629,9.32099,7.0267,0.06025,2.13708,10.4707,0.948759,3.95972,1.5285,1.31686,1.51721,2.52012,0.0317586,0.0251781,
0.81,-1.46187,-1.46187,-1.32316,5.28398,-9.64919,6.5587,-0.14475,-0.000260183,-0.000462683,-1.06415,1.707,-1.44358,-1.30221,-1.51902,3.19918,0.0486015,0.0209531,1.44822,1.46187,1.32359,8.52067,9.60846,6.5587,-0.14475,2.13708,10.4707,1.06926,4.67772,1.5405,1.34455,1.51881,3.19918,0.0486015,0.0209531,
