0.005,-3.89158e-05,-6.89155e-05,-0.523618,0.0399996,-0.198835,0.0501,0.0005,1.00001,1.00007,0.523607,0.0541286,0.102271,0.0501,0.0005,
0.105,-0.017874,-0.0330495,-0.645083,0.84977,-2.73274,1.0501,0.0105,1.00523,1.03128,0.587962,1.14489,1.51532,1.0501,0.0105,
0.205,-0.0994944,-0.172615,-1.28241,1.6752,-4.4915,2.0501,0.0205,1.02585,1.15111,0.991744,2.3908,3.19634,2.0501,0.0205,
0.305,-0.534924,-0.513855,-3.66857,2.50775,-10.5938,3.0501,0.0305,1.11355,1.48249,3.01104,4.903,9.7722,3.0501,0.0305,
0.388253,-2.17925,-1.87092,-225.759,3.15902,-913.024,3.88263,0.0388253,2.18351,2.83871,225.446,201.615,915.996,3.88263,0.0388253,
0.806169,-3.93101,-3.61815,-6.84061e+06,3.12612,-5.27969e+07,3.87716,0.0364298,3.92624,4.58594,6.85374e+06,4.31163e+06,5.28945e+07,3.87716,0.0364298,
1.61,-6.35446,-6.0416,-3.48932e+17,3.08451,-4.40324e+18,3.87716,0.0364298,6.34969,7.00939,3.49332e+17,1.70876e+17,4.40822e+18,3.87716,0.0364298,
2.415,-8.07565,-7.76279,-1.85994e+28,3.04925,-2.99062e+29,3.87716,0.0364298,8.07088,8.73058,1.8616e+28,8.05692e+27,2.99327e+29,3.87716,0.0364298,
3.22,-8.07565,-7.76279,-1.85994e+28,3.04925,-2.99062e+29,3.87716,0.0364298,8.07088,8.73058,1.8616e+28,8.05692e+27,2.99327e+29,3.87716,0.0364298,
4.025,-8.07565,-7.76279,-1.85994e+28,3.04925,-2.99062e+29,3.87716,0.0364298,8.07088,8.73058,1.8616e+28,8.05692e+27,2.99327e+29,3.87716,0.0364298,
4.83,-8.07565,-7.76279,-1.85994e+28,3.04925,-2.99062e+29,3.87716,0.0364298,8.07088,8.73058,1.8616e+28,8.05692e+27,2.99327e+29,3.87716,0.0364298,
5.635,-8.07565,-7.76279,-1.85994e+28,3.04925,-2.99062e+29,3.87716,0.0364298,8.07088,8.73058,1.8616e+28,8.05692e+27,2.99327e+29,3.87716,0.0364298,
6.44,-8.07565,-7.76279,-1.85994e+28,3.04925,-2.99062e+29,3.87716,0.0364298,8.07088,8.73058,1.8616e+28,8.05692e+27,2.99327e+29,3.87716,0.0364298,
