4.916454333295813481e-03,5.012734097088471508e-01,4.832861333163845398e-03,1.002830402742749927e+00
1.032396015941518808e-01,5.031526692996448613e-01,1.013621074273746148e-01,1.039577383681498990e+00
2.018238540843171613e-01,4.652025679645447886e-01,1.978321475967322052e-01,1.049345929587628623e+00
3.011094151978398470e-01,3.837246480423625039e-01,2.944238474510690318e-01,1.041296662668824036e+00
4.017116225220819792e-01,2.454135941161380563e-01,3.912116684649679654e-01,1.023140718349823564e+00
5.044534937950911901e-01,3.528740214430193395e-02,4.881652593983582533e-01,1.002815806538967180e+00
6.098654876866727026e-01,-2.371633544905831226e-01,5.851429103277376864e-01,9.885813506600169553e-01
7.177697770896085405e-01,-5.377768844284749328e-01,6.819069316783566981e-01,9.880207077442250130e-01
8.279695710214195481e-01,-8.486188053193316483e-01,7.781250240116689421e-01,1.008498407709881972e+00
9.407909165476787683e-01,-1.176968845559760224e+00,8.732527916139453117e-01,1.061182376002455019e+00
1.057652394976151378e+00,-1.559962807098623339e+00,9.658654951989185111e-01,1.178919618532182190e+00
