6.23,-5.36446,-13.8419,-0.530441,0,5.36446,13.8385,0.530441,95.8232,
6.33,-5.42191,-13.9378,-0.533922,0,5.42191,13.9345,0.533922,97.1554,
6.43,-5.47993,-14.0338,-0.537518,0,5.47993,14.0305,0.537518,98.4981,
6.53,-5.53847,-14.1299,-0.541198,0,5.53847,14.1267,0.541198,99.8516,
6.635,-5.62848,-14.1354,-0.54119,0,5.62848,14.1345,0.54119,99.9198,
6.735,-6.60319,-14.2359,-0.542069,0,6.60319,14.2357,0.542069,101.347,
6.835,-6.89522,-14.3399,-0.54436,0,6.89522,14.3396,0.54436,102.832,
6.935,-7.02348,-14.4446,-0.547487,0,7.02348,14.4444,0.547487,104.34,
7.035,-7.11484,-14.5497,-0.551101,0,7.11484,14.5494,0.551101,105.862,
7.135,-7.19879,-14.6549,-0.555,0,7.19879,14.6546,0.555,107.399,
7.235,-7.28188,-14.7603,-0.559069,0,7.28188,14.7601,0.559069,108.949,
7.335,-7.36541,-14.8659,-0.563241,0,7.36541,14.8656,0.563241,110.513,
7.435,-7.44952,-14.9716,-0.56748,0,7.44952,14.9714,0.56748,112.091,
7.535,-7.5342,-15.0776,-0.571764,0,7.5342,15.0774,0.571764,113.683,
7.635,-7.61938,-15.1838,-0.576082,0,7.61938,15.1835,0.576082,115.289,
7.74,-7.46866,-15.1859,-0.576462,0,7.46866,15.1877,0.576462,115.369,
7.84,-5.81106,-15.2761,-0.583687,0,5.81106,15.2863,0.583687,116.873,
7.94,-5.34828,-15.3697,-0.590233,0,5.34828,15.379,0.590233,118.291,
8.04,-5.24175,-15.4609,-0.596216,0,5.24175,15.4699,0.596216,119.693,
8.14,-5.24416,-15.5517,-0.601747,0,5.24416,15.5605,0.601747,121.097,
8.24,-5.27989,-15.6424,-0.606922,0,5.27989,15.651,0.606922,122.511,
8.34,-5.32565,-15.7333,-0.611816,0,5.32565,15.7418,0.611816,123.936,
8.44,-5.37432,-15.8243,-0.616492,0,5.37432,15.8328,0.616492,125.371,
8.54,-5.42376,-15.9155,-0.620997,0,5.42376,15.9238,0.620997,126.817,
8.64,-5.47336,-16.0068,-0.625369,0,5.47336,16.0151,0.625369,128.274,
8.74,-5.52298,-16.0983,-0.629639,0,5.52298,16.1064,0.629639,129.742,
8.845,-5.62714,-16.108,-0.629634,0,5.62714,16.1118,0.629634,129.815,
8.945,-6.78629,-16.2072,-0.63028,0,6.78629,16.2079,0.63028,131.368,
9.045,-7.1416,-16.3069,-0.632083,0,7.1416,16.3076,0.632083,132.99,
9.145,-7.28345,-16.4076,-0.63469,0,7.28345,16.4082,0.63469,134.636,
9.245,-7.37124,-16.5085,-0.637848,0,7.37124,16.5092,0.637848,136.298,
9.345,-7.44627,-16.6096,-0.641381,0,7.44627,16.6102,0.641381,137.971,
9.445,-7.51892,-16.7108,-0.645172,0,7.51892,16.7114,0.645172,139.657,
9.545,-7.59165,-16.8121,-0.649142,0,7.59165,16.8127,0.649142,141.354,
9.645,-7.66494,-16.9135,-0.653237,0,7.66494,16.9141,0.653237,143.064,
9.745,-7.73882,-17.015,-0.657421,0,7.73882,17.0156,0.657421,144.787,
9.845,-7.81322,-17.1167,-0.661672,0,7.81322,17.1173,0.661672,146.522,
9.95,-7.56641,-17.1195,-0.662068,0,7.56641,17.1198,0.662068,146.608,
