2.715,-4.06148,-10.788,-0.407089,0,99.9207,22.3351,1.49898,113.454,33.6895,1.90607,4.06148,10.7838,0.407089,58.2118,126.984,45.0412,2.31316,113.454,33.6895,1.90607,
2.815,-4.11739,-10.8831,-0.410823,0,99.4496,25.2115,1.39525,112.812,35.8813,1.80607,4.11739,10.879,0.410823,59.2421,126.17,46.5486,2.21689,112.812,35.8813,1.80607,
2.915,-4.17379,-10.9783,-0.414526,0,99.2317,28.2161,1.29154,112.391,38.1262,1.70607,4.17379,10.9743,0.414526,60.2833,125.546,47.7409,2.1206,112.391,38.1262,1.70607,
3.015,-4.23055,-11.0738,-0.418212,0,99.2691,31.4458,1.18786,112.196,40.402,1.60607,4.23055,11.0698,0.418212,61.3355,125.12,48.3591,2.02428,112.196,40.402,1.60607,
3.115,-4.28765,-11.1693,-0.421892,0,99.0556,34.9782,1.08418,112.23,42.6858,1.50607,4.28765,11.1655,0.421892,62.3986,125.401,49.6375,1.92796,112.23,42.6858,1.50607,
3.215,-4.34508,-11.2651,-0.425572,0,98.8078,36.9119,0.980498,112.491,44.9548,1.40607,4.34508,11.2613,0.425572,63.4727,126.171,52.3562,1.83164,112.491,44.9548,1.40607,
3.32,-4.4099,-11.2702,-0.425575,0,98.8045,37.0372,0.982795,112.521,45.1332,1.40837,4.4099,11.2698,0.425575,63.5268,126.237,52.578,1.83394,112.521,45.1332,1.40837,
3.42,-5.12799,-11.3699,-0.426709,0,99.0033,40.0281,1.02766,113.023,48.7148,1.45437,5.12799,11.3704,0.426709,64.6565,127.044,56.5763,1.88108,113.023,48.7148,1.45437,
3.52,-5.36173,-11.4728,-0.429217,0,99.3193,43.6696,1.07115,113.361,52.3157,1.50037,5.36173,11.4732,0.429217,65.8312,127.403,60.052,1.92959,113.361,52.3157,1.50037,
3.62,-5.47601,-11.5764,-0.432454,0,99.5402,47.662,1.11392,113.532,55.9284,1.54637,5.47601,11.5769,0.432454,67.026,127.525,63.2906,1.97882,113.532,55.9284,1.54637,
3.72,-5.56261,-11.6804,-0.436071,0,99.3993,51.6858,1.1563,113.538,59.545,1.59237,5.56261,11.6809,0.436071,68.2354,127.676,66.5467,2.02844,113.538,59.545,1.59237,
3.82,-5.64356,-11.7847,-0.439889,0,98.8491,55.0323,1.19848,113.376,63.1581,1.63837,5.64356,11.7851,0.439889,69.4584,127.904,70.4233,2.07826,113.376,63.1581,1.63837,
3.92,-5.72388,-11.8892,-0.443816,0,98.1323,57.987,1.24055,113.049,66.76,1.68437,5.72388,11.8896,0.443816,70.6949,127.967,74.636,2.12819,113.049,66.76,1.68437,
4.02,-5.80463,-11.9938,-0.447807,0,97.2502,60.7381,1.28256,112.557,70.343,1.73037,5.80463,11.9943,0.447807,71.945,127.864,78.994,2.17818,112.557,70.343,1.73037,
4.12,-5.88595,-12.0988,-0.451837,0,96.2047,63.3542,1.32453,111.9,73.8995,1.77637,5.88595,12.0992,0.451837,73.2089,127.596,83.4215,2.22821,111.9,73.8995,1.77637,
4.22,-5.96786,-12.2039,-0.455895,0,94.9982,65.8565,1.36647,111.081,77.4222,1.82237,5.96786,12.2043,0.455895,74.4867,127.164,87.9594,2.27827,111.081,77.4222,1.82237,
4.32,-6.05031,-12.3093,-0.459976,0,93.6333,68.1703,1.40839,110.1,80.9034,1.86837,6.05031,12.3097,0.459976,75.7783,126.567,92.7345,2.32835,110.1,80.9034,1.86837,
4.425,-5.89238,-12.311,-0.460392,0,93.7021,68.191,1.41298,110.085,80.9516,1.87337,5.89238,12.3129,0.460392,75.8429,126.47,92.8489,2.33376,110.085,80.9516,1.87337,
4.525,-4.08919,-12.3896,-0.468308,0,94.2191,68.3331,1.50506,109.737,81.8991,1.97337,4.08919,12.4073,0.468308,77.0246,125.272,95.4786,2.44168,109.737,81.8991,1.97337,
4.625,-3.52956,-12.4778,-0.47548,0,93.8944,68.9296,1.59789,109.295,82.807,2.07337,3.52956,12.495,0.47548,78.1105,124.713,96.6988,2.54885,109.295,82.807,2.07337,
4.725,-3.36911,-12.5634,-0.482004,0,93.3143,69.2144,1.69137,108.765,83.6664,2.17337,3.36911,12.5799,0.482004,79.1735,124.232,98.133,2.65537,108.765,83.6664,2.17337,
4.825,-3.34027,-12.6478,-0.487984,0,92.6927,69.4604,1.78539,108.152,84.4685,2.27337,3.34027,12.6642,0.487984,80.2369,123.627,99.4918,2.76135,108.152,84.4685,2.27337,
4.925,-3.35498,-12.732,-0.493514,0,92.1041,69.7548,1.87986,107.462,85.2054,2.37337,3.35498,12.7485,0.493514,81.3079,122.836,100.672,2.86688,107.462,85.2054,2.37337,
5.025,-3.384,-12.8163,-0.498672,0,91.5813,70.1255,1.9747,106.702,85.8698,2.47337,3.384,12.833,0.498672,82.3886,121.838,101.63,2.97204,106.702,85.8698,2.47337,
5.125,-3.41759,-12.9009,-0.503525,0,91.1412,70.5802,2.06985,105.879,86.4549,2.57337,3.41759,12.9176,0.503525,83.4793,120.632,102.346,3.07689,105.879,86.4549,2.57337,
5.225,-3.45258,-12.9857,-0.508127,0,90.7914,71.109,2.16524,105.002,86.955,2.67337,3.45258,13.0026,0.508127,84.5799,119.227,102.818,3.1815,105.002,86.955,2.67337,
5.325,-3.48792,-13.0706,-0.512524,0,90.5113,71.6044,2.26085,104.08,87.365,2.77337,3.48792,13.0877,0.512524,85.6901,117.661,103.143,3.28589,104.08,87.365,2.77337,
5.425,-3.52332,-13.1558,-0.516753,0,90.2987,72.0348,2.35662,103.121,87.6809,2.87337,3.52332,13.173,0.516753,86.8098,115.955,103.344,3.39012,103.121,87.6809,2.87337,
5.53,-3.6115,-13.1696,-0.516696,0,90.1333,71.9729,2.3521,103.027,87.7067,2.86879,3.6115,13.1768,0.516696,86.8663,115.944,103.448,3.38549,103.027,87.7067,2.86879,
