0.005,0.801243,0.238366,1.00271,0.498674,
0.105,0.803851,-0.168208,1.03136,0.0948901,
0.205,0.769659,-0.488765,1.02575,-0.195363,
0.305,0.699751,-0.734843,0.995138,-0.402654,
0.405,0.593477,-0.899347,0.945527,-0.530051,
0.505,0.456927,-0.980378,0.884634,-0.578756,
0.605,0.305516,-0.997313,0.821807,-0.559242,
0.705,0.154203,-0.979681,0.765016,-0.489749,
0.805,0.0102685,-0.94884,0.718935,-0.388064,
0.905,-0.12478,-0.916243,0.685602,-0.266311,
1.005,-0.252002,-0.887782,0.665774,-0.131557,
1.105,-0.373385,-0.866771,0.659864,0.0123499,
1.205,-0.49127,-0.855448,0.668443,0.163439,
1.305,-0.608259,-0.855779,0.692581,0.320818,
1.405,-0.727416,-0.870183,0.734199,0.484283,
1.505,-0.852666,-0.901316,0.796693,0.654207,
1.605,-0.989607,-0.953161,0.886278,0.831654,
1.705,-1.14777,-1.03285,1.01565,1.01907,
1.805,-1.34865,-1.15705,1.21798,1.22368,
1.905,-1.69961,-1.41425,1.70768,1.4989,
