0.000000000000000000e+00,8.000000000000000444e-01,2.617993877991494078e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,1.000000000000000000e+00,5.235987755982988157e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.916005547583014446e-01,2.027249052057032985e-01,-1.124858462070859932e+00,1.638668515861003983e-02,4.870482683869614693e-01,2.075143393795065572e-01,8.633693743148883604e-01,8.031106799385052675e-01,-4.240856943109017618e-01,2.877897914382961456e-02,8.411123493697258979e-01,8.132619680372480397e-01
8.504624263262912098e-01,-5.854455357255076153e-01,-1.045405858233876550e+00,2.834874754420971948e-02,8.628251790929932774e-01,-5.707493397856048256e-01,1.767295125185667004e+00,7.823342289184427312e-01,4.412457870788593639e-01,5.890983750618887516e-02,1.726772041896540433e+00,8.274501775446209129e-01
1.098301363375958184e+00,-1.423828151567715139e+00,-1.467748249137547756e+00,3.661004544586527604e-02,1.137152971813667257e+00,-1.398705736726272963e+00,2.701405235831646490e+00,1.488713971327194852e+00,1.391517274364731493e+00,9.004684119438823020e-02,2.626772041896539456e+00,1.567202822376440485e+00
9.696998559868500456e-01,-2.323522232740414584e+00,-1.895227997200460646e+00,3.232332853289502511e-02,9.610742387572658307e-01,-2.297937562553062030e+00,3.663625611419912609e+00,2.387406068120222269e+00,1.872436787835654703e+00,1.221208537139971129e-01,3.526772041896542476e+00,2.467053007156187583e+00
5.335585504889600594e-01,-3.223522232740419824e+00,-2.135565732721600440e+00,1.778528501629867906e-02,4.725827883268060026e-01,-3.197937562553067714e+00,4.657730616066557694e+00,3.287406068120227509e+00,2.122051693738271183e+00,1.552576872022184140e-01,4.426772041896544607e+00,3.367053007156193267e+00
-8.609141407965770210e-02,-4.123522232740420179e+00,-2.290605714501695367e+00,-2.869713802655253759e-03,-1.772046206983399208e-01,-4.097937562553068958e+00,5.685909435665733369e+00,4.187406068120226976e+00,2.281364705295280348e+00,1.895303145221908236e-01,5.326772041896543186e+00,4.267053007156192734e+00
-8.330501658099981332e-01,-5.023522232740417870e+00,-2.400972942431372381e+00,-2.776833886033327689e-02,-9.224854757769891389e-01,-4.997937562553066648e+00,6.750581047401357004e+00,5.087406068120224667e+00,2.394172955975736095e+00,2.250193682467116207e-01,6.226772041896540877e+00,5.167053007156190425e+00
-1.679276855762642073e+00,-5.923522232740414672e+00,-2.484324269573617183e+00,-5.597589519208805847e-02,-1.728506749328690084e+00,-5.897937562553063451e+00,7.854431532195388144e+00,5.987406068120221470e+00,2.479075451612430925e+00,2.618143844065127790e-01,7.126772041896537679e+00,6.067053007156187228e+00
-2.609785284334292577e+00,-6.823522232740415028e+00,-2.549859015588423539e+00,-8.699284281114307016e-02,-2.574424075012356816e+00,-6.797937562553063806e+00,9.000454909042924001e+00,6.887406068120221825e+00,2.545667134981504098e+00,3.000151636347640483e-01,8.026772041896537146e+00,6.967053007156187583e+00
