8.533431250003070125e-05,-6.891537027404617897e-05,-5.236167500000000752e-01,-3.784961440100272356e-01,3.999960000000000321e-02,1.000135500085363338e+00,1.000071250090089459e+00,5.236082500000001083e-01,2.017590285024705443e-01,5.412859999999999894e-02
3.694335844401421681e-02,-3.254201437404689867e-02,-6.071317500000000811e-01,-1.388912078603716571e+00,8.497740000000000293e-01,1.060353289080110395e+00,1.031579155622053268e+00,5.654572500000000224e-01,1.248091045988879433e+00,1.142779999999999907e+00
1.317429650978581834e-01,-1.432636916181944664e-01,-7.676497500000000196e-01,-1.439054864468660044e+00,1.675550000000000095e+00,1.232793904469245971e+00,1.125176509613292630e+00,5.601832500000000215e-01,1.367777828065261714e+00,2.278690000000000104e+00
2.639066746195525281e-01,-3.638008754305379622e-01,-9.352297499999999708e-01,-1.454838531469654139e+00,2.513030000000000097e+00,1.524605504623849361e+00,1.276927937159084925e+00,5.355972500000001357e-01,1.424015466756854531e+00,3.492589999999999861e+00
4.108163723870037476e-01,-7.190468179121209946e-01,-1.057988750000000033e+00,-1.472900048895027458e+00,3.356739999999999835e+00,1.946156397472432520e+00,1.470220541978982887e+00,6.612112500000000281e-01,1.464924204789793016e+00,4.799839999999999662e+00
5.691396468845449919e-01,-1.214616689378421155e+00,-1.130628700000000153e+00,-1.499991993357732145e+00,4.199939999999999785e+00,2.508081695141233691e+00,1.485406026860013995e+00,1.016481300000000143e+00,1.498850930877993592e+00,6.180589999999999584e+00
7.278075131876682313e-01,-1.464564098690522620e+00,-1.200488700000000186e+00,-1.513348218583972393e+00,5.038850000000000051e+00,3.179521088008067764e+00,1.502581510510057505e+00,1.250151299999999965e+00,1.513737277372889434e+00,7.640249999999999986e+00
1.038359958941365457e+00,-1.465594279196849259e+00,-1.257468699999999995e+00,-1.516977571394535707e+00,5.897170000000000023e+00,3.921003289399658698e+00,1.527089270429902390e+00,1.314151300000000022e+00,1.517047564853097663e+00,8.943170000000000286e+00
1.065986147387253613e+00,-1.465341293072423889e+00,-1.259921899999999928e+00,-1.517150863420736462e+00,5.867370000000000196e+00,3.959718461089233088e+00,1.528492442176801580e+00,1.316868100000000208e+00,1.517205663889924727e+00,8.926320000000000476e+00
1.707002425372598386e+00,-1.443576074627401784e+00,-1.302206900000000056e+00,-1.519024916802803826e+00,5.283979999999999677e+00,4.677710570913904853e+00,1.540493085739871759e+00,1.344553100000000168e+00,1.518805854081597406e+00,8.520670000000000854e+00
2.364226326535802780e+00,-1.412162273464196982e+00,-1.338041940000000096e+00,-1.519549924942028785e+00,4.718799999999999883e+00,5.298973673464197454e+00,1.522585073464197025e+00,1.330588060000000183e+00,1.518949451370487314e+00,8.065170000000000172e+00
