0.005,-3.89156e-05,-6.89154e-05,-0.523618,0.0399996,-0.198835,0.0501,0.0005,0,0,-1.49426,1.00001,1.00007,0.523607,0.0541286,0.102271,0.0501,0.0005,2.13708,10.4707,3.8835,
0.105,-0.0176238,-0.0325475,-0.607683,0.849774,-2.71862,1.0501,0.0105,0,0,-0.57348,1.0052,1.03101,0.564906,1.14278,1.49524,1.0501,0.0105,2.13708,10.4707,1.45341,
0.205,-0.0760429,-0.143325,-0.769751,1.67555,-3.77333,2.0501,0.0205,0,0,-0.275432,1.02235,1.12281,0.558082,2.27869,2.4289,2.0501,0.0205,2.13708,10.4707,0.615217,
0.305,-0.195338,-0.363978,-0.939881,2.51303,-4.29257,3.0501,0.0305,0,0,-0.20241,1.05777,1.27094,0.530946,3.49259,3.38194,3.0501,0.0305,2.13708,10.4707,0.390883,
0.405,-0.397398,-0.719175,-1.06619,3.35674,-5.09112,4.0501,0.0405,0,0,-0.231773,1.12014,1.45772,0.65301,4.79984,4.70502,4.0501,0.0405,2.13708,10.4707,0.418829,
0.505,-0.687416,-1.21408,-1.14338,4.19994,-7.04991,5.0501,0.0505,0,0,-0.385476,1.21756,1.46187,1.00373,6.18059,6.93772,5.0501,0.0505,2.13708,10.4707,0.547605,
0.605,-1.0757,-1.46187,-1.21879,5.03885,-8.69393,6.0501,0.0605,0,0,-0.662231,1.32291,1.46187,1.23185,7.64025,8.75334,6.0501,0.0605,2.13708,10.4707,0.729527,
0.705,-1.41069,-1.46187,-1.28232,5.89717,-9.28147,7.0501,0.0705,0,0,-0.919413,1.40017,1.46187,1.2893,8.94317,9.29358,7.0501,0.0705,2.13708,10.4707,0.938613,
0.71,-1.41778,-1.46187,-1.2851,5.86737,-9.31151,7.0267,0.06025,0,0,-0.930806,1.40324,1.46187,1.29169,8.92632,9.32105,7.0267,0.06025,2.13708,10.4707,0.948775,
0.81,-1.46187,-1.46187,-1.32316,5.28398,-9.64921,6.5587,-0.14475,0,0,-1.06416,1.44822,1.46187,1.3236,8.52067,9.60848,6.5587,-0.14475,2.13708,10.4707,1.06926,
0.91,-1.46187,-1.46187,-1.33427,4.7188,-9.74824,6.0907,-0.34975,0,0,-1.08609,1.46187,1.46187,1.33436,8.06517,9.63514,6.0907,-0.34975,2.13708,10.4707,1.08811,
